		skill_uuid	onet_soc_code	onet_element_id	skill_name	count
35	29276	29276	11-1011.00	1.a.1.b.3	problem sensitivity	274
36	29277	29277	11-1011.00	1.a.1.b.4	deductive reasoning	717
37	29278	29278	11-1011.00	1.a.1.b.5	inductive reasoning	463
38	29279	29279	11-1011.00	1.a.1.b.6	information ordering	50
39	29280	29280	11-1011.00	1.a.1.b.7	category flexibility	1
40	29281	29281	11-1011.00	1.a.1.c.1	mathematical reasoning	168
41	29282	29282	11-1011.00	1.a.1.c.2	number facility	16
42	29283	29283	11-1011.00	1.a.1.d.1	memorization	21
43	29286	29286	11-1011.00	1.a.1.e.3	perceptual speed	2
44	29287	29287	11-1011.00	1.a.1.f.2	visualization	1308
45	29288	29288	11-1011.00	1.a.1.g.1	selective attention	149
46	29289	29289	11-1011.00	1.a.1.g.2	time sharing	5
47	29290	29290	11-1011.00	1.a.2.a.3	finger dexterity	1669
48	29291	29291	11-1011.00	1.a.2.b.1	control precision	39
49	29292	29292	11-1011.00	1.a.2.b.2	multilimb coordination	30
50	29293	29293	11-1011.00	1.a.4.a.1	near vision	533
51	29294	29294	11-1011.00	1.a.4.a.2	far vision	419
52	29295	29295	11-1011.00	1.a.4.a.3	visual color discrimination	2
53	29296	29296	11-1011.00	1.a.4.a.6	depth perception	24451
54	29297	29297	11-1011.00	1.a.4.b.1	hearing sensitivity	7
55	29298	29298	11-1011.00	1.a.4.b.2	auditory attention	3
56	29299	29299	11-1011.00	1.a.4.b.4	speech recognition	74
57	29300	29300	11-1011.00	1.a.4.b.5	speech clarity	78
58	29349	29349	11-1021.00	1.a.1.f.1	spatial orientation	49
59	29354	29354	11-1021.00	1.a.2.a.2	manual dexterity	9429
60	29358	29358	11-1021.00	1.a.2.b.3	response orientation	2
61	29359	29359	11-1021.00	1.a.2.b.4	rate control	40
62	29360	29360	11-1021.00	1.a.2.c.1	reaction time	31
63	29363	29363	11-1021.00	1.a.3.a.1	static strength	41
64	29366	29366	11-1021.00	1.a.3.a.4	trunk strength	2
65	29367	29367	11-1021.00	1.a.3.b.1	stamina	1823
66	29368	29368	11-1021.00	1.a.3.c.1	extent flexibility	7
67	29369	29369	11-1021.00	1.a.3.c.3	gross body coordination	7
68	29374	29374	11-1021.00	1.a.4.a.4	night vision	45
69	29375	29375	11-1021.00	1.a.4.a.5	peripheral vision	3964
70	69473	69473	11-1011.00	2.c.1.b	clerical	373370
71	69475	69475	11-1011.00	2.c.1.d	sales and marketing	11
72	69478	69478	11-1011.00	2.c.2.a	production and processing	2
73	69481	69481	11-1011.00	2.c.3.c	design	367424
74	69483	69483	11-1011.00	2.c.3.e	mechanical	230560
75	69485	69485	11-1011.00	2.c.4.c	chemistry	12079
76	69486	69486	11-1011.00	2.c.4.e	psychology	56545
77	69488	69488	11-1011.00	2.c.4.g	geography	2627
78	69491	69491	11-1011.00	2.c.7.a	english language	63264
79	69492	69492	11-1011.00	2.c.7.b	foreign language	14202
80	69493	69493	11-1011.00	2.c.7.c	fine arts	323
81	69498	69498	11-1011.00	2.c.9.a	telecommunications	354887
82	69500	69500	11-1011.00	2.c.10	transportation	825494
83	69508	69508	11-1011.03	2.c.2.b	food production	7607
84	69515	69515	11-1011.03	2.c.4.b	physics	4846
85	69517	69517	11-1011.03	2.c.4.d	biology	5187
86	94153	94153	11-1011.00	43211507	desktop computers	110
87	94154	94154	11-1011.00	43211503	laptop computers	64
88	94155	94155	11-1011.00	43211508	personal computers	2091
89	94157	94157	11-1011.00	43191501	smartphones	295
90	94162	94162	11-1011.00	43231601	computerease construction accounting	7
91	94163	94163	11-1011.00	43232305	database reporting software	1
92	94165	94165	11-1011.00	43233501	email software	97
93	94166	94166	11-1011.00	43231602	enterprise resource planning erp software	45
94	94168	94168	11-1011.00	43232102	graphic presentation software	3
95	94171	94171	11-1011.00	43231507	hcss heavybid	14
96	94172	94172	11-1011.00	43231507	hcss heavyjob	3
97	94175	94175	11-1011.00	43231601	intuit quickbooks software	1
98	94178	94178	11-1011.00	43232306	microsoft access	4592
99	94179	94179	11-1011.00	43231602	microsoft dynamics ax	308
100	94180	94180	11-1011.00	43232110	microsoft excel	99087
101	94181	94181	11-1011.00	43231604	microsoft frx	7
102	94182	94182	11-1011.00	43231602	microsoft great plains software	3
103	94183	94183	11-1011.00	43231513	microsoft office software	4537
104	94184	94184	11-1011.00	43233501	microsoft outlook	7306
105	94185	94185	11-1011.00	43232106	microsoft powerpoint	2734
106	94186	94186	11-1011.00	43231507	microsoft project	2972
107	94187	94187	11-1011.00	43232112	microsoft publisher	99
108	94188	94188	11-1011.00	43231507	microsoft sharepoint software	4
109	94189	94189	11-1011.00	43232104	microsoft word	36139
110	94194	94194	11-1011.00	43231602	oracle peoplesoft software	12
111	94196	94196	11-1011.00	43231601	sage peachtree software	2
112	94197	94197	11-1011.00	43231602	sap software	808
113	94198	94198	11-1011.00	43232306	structured query language sql	108
114	94199	94199	11-1011.00	43232705	web browser software	7
115	94203	94203	11-1011.03	43211715	handheld computers	10
116	94209	94209	11-1011.03	45111902	video teleconferencing systems	6
117	94218	94218	11-1011.03	43232306	oracle software	393
118	94220	94220	11-1011.03	43232108	scheduling software	1627
119	94224	94224	11-1021.00	43191501	cell phones	1519
120	94225	94225	11-1021.00	43211711	computer scanners	5
121	94228	94228	11-1021.00	45121504	digital cameras	369
122	94229	94229	11-1021.00	24101504	handtrucks	15
123	94236	94236	11-1021.00	43211505	point of sale pos systems	5
124	94237	94237	11-1021.00	41114508	profilometers	11
125	94238	94238	11-1021.00	41115403	spectrometers	15
126	94239	94239	11-1021.00	46171610	surveillance cameras	32
127	94244	94244	11-1021.00	43232304	apache hadoop	18
128	94245	94245	11-1021.00	43232604	autodesk autocad software	4
129	94250	94250	11-1021.00	43232612	computer aided manufacturing cam software	1
130	94251	94251	11-1021.00	43232306	data entry software	75
131	94257	94257	11-1021.00	43231601	fund accounting software	38
132	94258	94258	11-1021.00	43232307	google analytics	3159
133	94259	94259	11-1021.00	43231505	human resources software	4
134	94264	94264	11-1021.00	43231601	intuit quickbooks	8
135	94265	94265	11-1021.00	43231508	inventory management software	57
136	94267	94267	11-1021.00	43231605	kronos workforce timekeeper	3
137	94272	94272	11-1021.00	43233501	microsoft exchange server	153
138	94273	94273	11-1021.00	43232107	microsoft frontpage	12
139	94274	94274	11-1021.00	43232705	microsoft internet explorer	218
140	94281	94281	11-1021.00	43232102	microsoft visio	439
141	94282	94282	11-1021.00	43232402	microsoft visual basic	147
142	94284	94284	11-1021.00	43232314	microstrategy software	1
143	94285	94285	11-1021.00	43232605	minitab software	13
144	94286	94286	11-1021.00	43232705	mozilla firefox	207
145	94288	94288	11-1021.00	43232801	nagios	515
146	94292	94292	11-1021.00	43231602	oracle jd edwards enterpriseone	3
147	94295	94295	11-1021.00	43231605	payroll software	661
148	94296	94296	11-1021.00	43231505	personnel scheduling software	1
149	94299	94299	11-1021.00	43232405	r	56514
150	94303	94303	11-1021.00	43231604	sage mas 500	6
151	94306	94306	11-1021.00	43232605	sas software	18
152	94310	94310	11-1021.00	43233701	splunk enterprise	2
153	94311	94311	11-1021.00	43232605	spss software	9
154	94315	94315	11-1021.00	43233205	symantec security software	1
155	94316	94316	11-1021.00	43232314	tableau software	7
156	94317	94317	11-1021.00	43231601	tax software	889
157	94322	94322	11-1031.00	43211509	tablet computers	5
158	94330	94330	11-1031.00	43232901	cisco anyconnect	3
159	94332	94332	11-1031.00	43233502	citrix gotomeeting	2
160	94336	94336	11-1031.00	43232902	ibm domino	1
161	94338	94338	11-1031.00	43233506	mapping software	209
162	94339	94339	11-1031.00	43232108	meeting scheduling software	1
163	94346	94346	11-1031.00	43232306	microsoft sql server software	4
164	94355	94355	11-1031.00	43232005	windows media player	79
165	94358	94358	11-2011.00	43211503	notebook computers	22
166	94361	94361	11-2011.00	43211711	scanners	2393
167	94375	94375	11-2011.00	43232103	apple final cut pro	10
168	94377	94377	11-2011.00	43232103	avid media composer	17
169	94379	94379	11-2011.00	43232605	business analysis software	21
170	94381	94381	11-2011.00	43232303	constant contact software	2
171	94382	94382	11-2011.00	43232202	data warehousing software	1
172	94383	94383	11-2011.00	43232306	database software	1670
173	94385	94385	11-2011.00	43231514	google adwords	1451
174	94386	94386	11-2011.00	43232314	google doubleclick	9
175	94387	94387	11-2011.00	43233501	ibm lotus notes	46
176	94388	94388	11-2011.00	43232408	javascript	39124
177	94401	94401	11-2011.00	43232112	quark software	1
178	94416	94416	11-2011.01	43232107	facebook	48151
179	94417	94417	11-2011.01	43231508	inventory tracking software	400
180	94418	94418	11-2011.01	43232107	linkedin	14640
181	94425	94425	11-2011.01	43232304	microsoft sql server	5827
182	94430	94430	11-2011.01	43233504	twitter	32064
183	94432	94432	11-2011.01	43232107	wordpress	4955
184	94438	94438	11-2021.00	44101501	photocopiers	82
185	94452	94452	11-2021.00	43232304	apache cassandra	13
186	94463	94463	11-2021.00	43231604	delphi software	1
187	94464	94464	11-2021.00	43232408	drupal	2771
188	94466	94466	11-2021.00	43232403	extensible markup language xml	83
189	94471	94471	11-2021.00	43232408	hypertext markup language html	8
190	94477	94477	11-2021.00	43233205	mcafee software	1
191	94479	94479	11-2021.00	43231602	microsoft dynamics software	8
192	94491	94491	11-2021.00	43232306	mysql software	251
193	94501	94501	11-2021.00	43232303	sage saleslogix	4
194	94506	94506	11-2021.00	43232605	spss	877
195	94511	94511	11-2021.00	43232304	teradata database	3
196	94521	94521	11-2022.00	43232604	bentley microstation	94
197	94523	94523	11-2022.00	43232108	contact management software	475
198	94526	94526	11-2022.00	43232402	eclipse software	442
199	94535	94535	11-2022.00	43231508	inventory software	439
200	94568	94568	11-2022.00	43231505	workforce management software	61
201	94594	94594	11-2031.00	43233501	google gmail	17
202	94605	94605	11-2031.00	43233501	novell groupwise	8
203	94609	94609	11-2031.00	43232112	quarkxpress	330
204	94615	94615	11-3011.00	43191501	mobile phones	429
205	94633	94633	11-3011.00	43231602	microsoft dynamics gp	274
206	94643	94643	11-3011.00	43233004	microsoft windows xp	286
207	94650	94650	11-3011.00	43231602	sage mas 200 erp	5
208	94655	94655	11-3021.00	43222625	access servers	9
209	94656	94656	11-3021.00	43211501	computer servers	14
210	94658	94658	11-3021.00	43211501	file servers	36
211	94660	94660	11-3021.00	43212104	inkjet printers	21
212	94663	94663	11-3021.00	43212105	laser printers	47
213	94664	94664	11-3021.00	43211512	mainframe computers	9
214	94668	94668	11-3021.00	41113711	network analyzers	129
215	94670	94670	11-3021.00	43222609	network routers	28
216	94671	94671	11-3021.00	43222612	network switches	96
217	94674	94674	11-3021.00	43201537	print servers	48
218	94677	94677	11-3021.00	27111701	screwdrivers	333
219	94678	94678	11-3021.00	43211501	storage servers	56
220	94679	94679	11-3021.00	43221522	teleconferencing equipment	8
221	94680	94680	11-3021.00	43211501	web servers	446
222	94681	94681	11-3021.00	43211502	workstations	488
223	94689	94689	11-3021.00	43232304	apache pig	11
224	94690	94690	11-3021.00	43232304	apache solr	17
225	94691	94691	11-3021.00	43232408	apache tomcat	1053
226	94698	94698	11-3021.00	43232402	assembler	1377
227	94699	94699	11-3021.00	43231601	billing software	329
228	94702	94702	11-3021.00	43232402	c	120273
229	94704	94704	11-3021.00	43232310	ca erwin data modeler	1
230	94714	94714	11-3021.00	43232405	embarcadero delphi	1
231	94717	94717	11-3021.00	43233204	firewall software	40
232	94720	94720	11-3021.00	43231501	help desk software	32
233	94723	94723	11-3021.00	43232305	hyperion software	22
234	94726	94726	11-3021.00	43232403	ibm infosphere datastage	24
235	94729	94729	11-3021.00	43232403	ibm websphere	260
236	94734	94734	11-3021.00	43232905	lan software	4
237	94736	94736	11-3021.00	43233004	linux	30824
238	94745	94745	11-3021.00	43232303	microsoft dynamics crm	518
239	94747	94747	11-3021.00	43231602	microsoft dynamics nav	109
240	94748	94748	11-3021.00	43232108	microsoft entourage	1
241	94751	94751	11-3021.00	43232107	microsoft front page	6
242	94753	94753	11-3021.00	43233503	microsoft office sharepoint server moss	9
243	94759	94759	11-3021.00	43232405	microsoft sql server reporting services ssrs	14
244	94765	94765	11-3021.00	43232402	microsoft visual studio	434
245	94766	94766	11-3021.00	43232701	microsoft windows server	364
246	94770	94770	11-3021.00	43232304	mongodb	1884
247	94773	94773	11-3021.00	43232705	netscape navigator	5
248	94775	94775	11-3021.00	43232304	nosql software	1
249	94777	94777	11-3021.00	43232405	objective c	3230
250	94778	94778	11-3021.00	43232314	oracle business intelligence enterprise edition	21
251	94779	94779	11-3021.00	43232306	oracle dbms	60
252	94783	94783	11-3021.00	43232405	oracle java	101
253	94789	94789	11-3021.00	43233004	oracle solaris	49
254	94790	94790	11-3021.00	43232701	oracle weblogic server	12
255	94796	94796	11-3021.00	43232311	postgresql software	5
256	94803	94803	11-3021.00	43232401	puppet	510
257	94804	94804	11-3021.00	43232405	python	12227
258	94808	94808	11-3021.00	43233004	red hat enterprise linux	93
259	94810	94810	11-3021.00	43232304	relational database management software	3
260	94811	94811	11-3021.00	43232408	ruby on rails	61
261	94812	94812	11-3021.00	43233001	samba	47
262	94816	94816	11-3021.00	43232804	solarwinds software	2
263	94817	94817	11-3021.00	43232606	sox cobit	2
264	94831	94831	11-3021.00	43232407	unified modeling language uml	63
265	94832	94832	11-3021.00	43233004	unix	19513
266	94833	94833	11-3021.00	43233415	veritas netbackup	33
267	94846	94846	11-3031.01	43231602	deltek software	52
268	94848	94848	11-3031.01	43231604	frx software	10
269	94850	94850	11-3031.01	43231601	hyperion enterprise	737
270	94858	94858	11-3031.01	43231601	job costing software	11
271	94871	94871	11-3031.01	43231602	oracle peoplesoft	1547
272	94872	94872	11-3031.01	43231602	oracle peoplesoft financials	9
273	94876	94876	11-3031.01	43231601	sage mip fund accounting	9
274	94879	94879	11-3031.01	43231602	solomon software	77
275	94888	94888	11-3031.02	43231601	accounts receivable software	46
276	94896	94896	11-3031.02	43232705	internet browser software	2
277	94924	94924	11-3031.02	43232104	word processing software	1568
278	94926	94926	11-3051.00	24101603	forklifts	1876
279	94931	94931	11-3051.00	27111803	squares	105
280	94933	94933	11-3051.00	27111801	tape measures	118
281	94934	94934	11-3051.00	41111648	taper gauges	2
282	94935	94935	11-3051.00	41111621	vernier calipers	41
283	94942	94942	11-3051.00	43232604	autodesk autocad	70
284	94947	94947	11-3051.00	43232604	computer aided design cad software	44
285	94956	94956	11-3051.00	43231604	financial planning software	18
286	94957	94957	11-3051.00	43232402	ibm rational clearquest	4
287	94974	94974	11-3051.00	43231508	sap inventory software	20
288	94984	94984	11-3051.01	41105307	electrophoresis equipment	1
289	94997	94997	11-3051.01	41115602	titrators	10
290	95044	95044	11-3051.02	43211715	dataloggers	3
291	95051	95051	11-3051.02	43191510	mobile radios	4
292	95054	95054	11-3051.02	32101628	programmable logic controllers plc	67
293	95064	95064	11-3051.03	41104008	air monitoring equipment	15
294	95065	95065	11-3051.03	40141607	ball valves	10
295	95070	95070	11-3051.03	46171604	emergency alarm systems	2
296	95076	95076	11-3051.03	41104501	gravity convection ovens	2
297	95080	95080	11-3051.03	41112304	moisture analyzers	5
298	95090	95090	11-3051.03	43232603	computerized maintenance management system cmms software	1
299	95093	95093	11-3051.03	43232608	human machine interface hmi software	1
300	95094	95094	11-3051.03	43231508	inventory control software	49
301	95104	95104	11-3051.04	40101703	cooling towers	1073
302	95106	95106	11-3051.04	26111608	heat recovery steam generators	8
303	95110	95110	11-3051.04	40102002	steam boilers	47
304	95111	95111	11-3051.04	26101505	steam turbines	68
305	95124	95124	11-3051.05	41104008	air samplers	1
306	95125	95125	11-3051.05	25101905	all terrain vehicles atv	1
307	95136	95136	11-3051.05	41113110	oxygen analyzers	11
308	95138	95138	11-3051.05	41111927	pressure gauges	36
309	95139	95139	11-3051.05	40141604	pressure valves	73
310	95140	95140	11-3051.05	25101507	utility trucks	3
311	95156	95156	11-3051.06	26131808	electrical switch gear	10
312	95163	95163	11-3051.06	39121002	power transformers	51
313	95167	95167	11-3051.06	46181802	safety glasses	2563
314	95168	95168	11-3051.06	26101506	turbine generators	8
315	95189	95189	11-3061.00	43231602	epicor vantage erp	5
316	95209	95209	11-3061.00	43231503	purchasing software	156
317	95215	95215	11-3071.01	43211701	barcode scanners	14
318	95241	95241	11-3071.01	43231506	geometrix	20
319	95242	95242	11-3071.01	43232102	graphics software	214
320	95270	95270	11-3071.01	43232110	spreadsheet software	2161
321	95283	95283	11-3071.02	25173107	global positioning systems gps	9
322	95285	95285	11-3071.02	24101505	pallet jacks	555
323	95323	95323	11-3071.02	43231506	radio beacon wms	2
324	95338	95338	11-3071.03	46181509	personal protective equipment	4089
325	95345	95345	11-3071.03	43231506	esri arclogistics	2
326	95346	95346	11-3071.03	43231506	fedex ship manager	6
327	95365	95365	11-3071.03	43232605	optimization software	171
328	95368	95368	11-3071.03	43232106	presentation software	884
329	95375	95375	11-3071.03	43231506	ups worldship	42
330	95377	95377	11-3071.03	43231506	warehouse management system wms software	3
331	95383	95383	11-3111.00	43201811	optical disk drives	3
332	95408	95408	11-3111.00	43231505	ceridian software	27
333	95412	95412	11-3111.00	43231601	deltek costpoint	308
334	95464	95464	11-3111.00	43231505	sage abra hrms	4
335	95471	95471	11-3111.00	43231505	ultimate software ultipro	7
336	95474	95474	11-3121.00	46171621	audio recording equipment	4
337	95481	95481	11-3121.00	43231505	adp enterprise hr	14
338	95482	95482	11-3121.00	43231605	adp ezlabormanager	2
339	95485	95485	11-3121.00	43231605	adp pay expert	95
340	95495	95495	11-3121.00	43231505	defense travel system	6
341	95496	95496	11-3121.00	43231602	deltek vision	235
342	95499	95499	11-3121.00	43231505	focus software	33
343	95531	95531	11-3121.00	43231505	oracle hris	5
344	95533	95533	11-3121.00	43231505	paychex software	65
345	95535	95535	11-3121.00	43231605	paylocity web pay	3
346	95557	95557	11-3121.00	43232502	training software	1146
347	95558	95558	11-3121.00	43231602	tyler technologies munis	1
348	95569	95569	11-3131.00	52161543	mp3 players	44
349	95572	95572	11-3131.00	45111902	videoconferencing equipment	3
350	95599	95599	11-3131.00	43232107	exe	15
351	95634	95634	11-3131.00	43232502	moodle	62
352	95647	95647	11-3131.00	43232502	saba centra	1
353	95658	95658	11-3131.00	43232502	trivantis lectora	3
354	95667	95667	11-9013.01	43211701	bar code readers	1
355	95675	95675	11-9013.01	40151531	drainage pumps	1
356	95679	95679	11-9013.01	30191501	extension ladders	568
357	95683	95683	11-9013.01	21101801	fumigation equipment	1
358	95684	95684	11-9013.01	27112901	grease guns	327
359	95685	95685	11-9013.01	27111508	handsaws	7
360	95686	95686	11-9013.01	21102303	humidifiers	19
361	95691	95691	11-9013.01	27112014	lawn mowers	49
362	95706	95706	11-9013.01	40151601	portable air compressors	2
363	95709	95709	11-9013.01	41113708	power monitors	1
364	95713	95713	11-9013.01	46171604	security alarm systems	25
365	95714	95714	11-9013.01	22101529	skid steer machines	1
366	95720	95720	11-9013.01	42281508	steam sterilizers	10
367	95723	95723	11-9013.01	22101508	trenchers	17
368	95738	95738	11-9013.02	22101509	backhoes	99
369	95742	95742	11-9013.02	27112709	chain saws	56
370	95743	95743	11-9013.02	27112709	circular saws	7
371	95747	95747	11-9013.02	25101601	dump trucks	55
372	95750	95750	11-9013.02	25101901	farm tractors	7
373	95751	95751	11-9013.02	25101507	farm trucks	2
374	95764	95764	11-9013.02	21101702	hay balers	15
375	95771	95771	11-9013.02	21101901	milking equipment	1
376	95772	95772	11-9013.02	21101701	mowing equipment	19
377	95777	95777	11-9013.02	22101531	snow blowers	32
378	95802	95802	11-9013.02	43233506	esri arcpad	1
379	95815	95815	11-9013.02	43233506	mapinfo software	4
380	95867	95867	11-9013.03	27111559	hacksaws	10
381	95873	95873	11-9013.03	47101541	ozone generators	2
382	95877	95877	11-9013.03	27111749	pipe wrenches	61
383	95879	95879	11-9013.03	27112014	power mowers	29
384	95882	95882	11-9013.03	23271702	propane torches	20
385	95884	95884	11-9013.03	46181504	safety gloves	13
386	95888	95888	11-9013.03	25101610	tanker trucks	194
387	95895	95895	11-9013.03	27111503	utility knives	10
388	95896	95896	11-9013.03	40161502	water filters	3949
389	95910	95910	11-9013.03	43232605	statistical analysis software	103
390	95911	95911	11-9013.03	43231605	time reporting software	1
391	95915	95915	11-9021.00	41115307	lasers	252
392	95916	95916	11-9021.00	27111802	levels	106857
393	95923	95923	11-9021.00	43232604	autodesk revit	99
394	95929	95929	11-9021.00	43232202	daily manager	3
395	95935	95935	11-9021.00	43232107	impact software	14
396	95956	95956	11-9021.00	43232306	sage 100 contractor	3
397	95960	95960	11-9021.00	43232202	site manager	382
398	96003	96003	11-9032.00	45111614	digital projectors	7
399	96004	96004	11-9032.00	46171604	fire alarm systems	218
400	96005	96005	11-9032.00	43211903	interactive whiteboards	12
401	96012	96012	11-9032.00	43191510	two way radios	131
402	96019	96019	11-9032.00	43233501	gmail	115
403	96020	96020	11-9032.00	43232108	google calendar	42
404	96021	96021	11-9032.00	43231513	google drive	21
405	96030	96030	11-9032.00	43231602	pearson powerschool	1
406	96054	96054	11-9033.00	43231602	ellucian colleague	6
407	96059	96059	11-9033.00	43231602	jenzabar ex	4
408	96078	96078	11-9033.00	43232306	student information systems sis	4
409	96093	96093	11-9039.01	43232502	articulate storyline	71
410	96118	96118	11-9039.01	43232305	sap crystal reports	8
411	96123	96123	11-9039.01	43233502	web conferencing software	7
412	96124	96124	11-9039.01	43232103	youtube	1848
413	96125	96125	11-9039.02	42172101	automated external defibrillators aed	1
414	96132	96132	11-9039.02	49201606	free weights	11
415	96137	96137	11-9039.02	27111801	measuring tapes	7
416	96173	96173	11-9041.00	43232604	autodesk viz	2
417	96182	96182	11-9041.00	43233506	esri arcview	1
418	96185	96185	11-9041.00	43232605	hec ras	49
419	96193	96193	11-9041.00	43231602	made2manage software	1
420	96194	96194	11-9041.00	43232108	maintenance scheduling software	3
421	96206	96206	11-9041.00	43232402	national instruments labview	39
422	96215	96215	11-9041.00	43232604	ptc creo parametric	3
423	96218	96218	11-9041.00	43232608	rta fleet management	1
424	96222	96222	11-9041.00	43232604	solidworks cad software	27
425	96229	96229	11-9041.00	43232402	verilog	1260
426	96232	96232	11-9041.00	43232801	wireshark	422
427	96234	96234	11-9041.00	43232201	workflow software	36
428	96237	96237	11-9041.01	41104307	bioreactors	15
429	96238	96238	11-9041.01	41103507	biosafety cabinets	1
430	96241	96241	11-9041.01	41104802	distillation equipment	1
431	96242	96242	11-9041.01	41104806	extraction equipment	5
432	96243	96243	11-9041.01	41104301	fermentation systems	2
433	96245	96245	11-9041.01	41111931	flow indicators	1
434	96248	96248	11-9041.01	41115703	gas chromatographs gc	1
435	96254	96254	11-9041.01	41111938	level indicators	4
436	96255	96255	11-9041.01	41115404	mass spectrometers	4
437	96260	96260	11-9041.01	41112403	pressure indicators	20
438	96263	96263	11-9041.01	41115406	spectrophotometers	22
439	96264	96264	11-9041.01	41112210	temperature probes	57
440	96266	96266	11-9041.01	43232605	agilent chemstation	51
441	96277	96277	11-9051.00	44101804	computerized cash registers	4
442	96325	96325	11-9061.00	25181701	dump trailers	9
443	96348	96348	11-9061.00	46181504	nitrile gloves	1
444	96351	96351	11-9061.00	25101503	passenger vehicles	423
445	96354	96354	11-9061.00	46181504	protective latex gloves	7
446	96355	96355	11-9061.00	46182002	respirators	205
447	96364	96364	11-9061.00	43231601	financial reporting software	57
448	96384	96384	11-9071.00	46171612	video surveillance systems	19
449	96395	96395	11-9081.00	44101804	cash registers	580
450	96403	96403	11-9081.00	43221519	voice mail systems	30
451	96404	96404	11-9081.00	43231601	accounting software	10298
452	96446	96446	11-9111.00	43232610	cerner profile	1
453	96450	96450	11-9111.00	43231507	contract management software	25
454	96461	96461	11-9111.00	43232610	epic systems software	1
455	96478	96478	11-9111.00	43232610	medent	9
456	96483	96483	11-9111.00	43232610	meditech software	28
457	96528	96528	11-9121.00	43233506	esri arcgis software	6
458	96531	96531	11-9121.00	43232605	laboratory information management system lims software	1
459	96548	96548	11-9121.01	45121516	digital video equipment	60
460	96555	96555	11-9121.01	43231601	budgeting software	33
461	96576	96576	11-9121.01	43232306	oracle clinical	57
462	96582	96582	11-9121.01	43231507	project management software	1131
463	96583	96583	11-9121.01	43232605	qualitative analysis software	1
464	96614	96614	11-9121.02	41112222	temperature gauges	1
465	96617	96617	11-9121.02	41114204	total stations	33
466	96618	96618	11-9121.02	47101516	turbidimeters	1
467	96633	96633	11-9121.02	43233506	google earth pro	5
468	96656	96656	11-9131.00	43211702	credit card machines	22
469	96657	96657	11-9131.00	44103202	date stamps	1
470	96659	96659	11-9131.00	44101804	electronic cash registers	225
471	96661	96661	11-9131.00	44102502	mail sorting equipment	3
472	96663	96663	11-9131.00	43191507	multiline telephone systems	3
473	96667	96667	11-9131.00	44102101	postage meters	12
474	96671	96671	11-9131.00	44103207	time clocks	16
475	96672	96672	11-9131.00	46171612	video monitoring systems	1
476	96689	96689	11-9131.00	43232603	vehicle management software	2
477	96696	96696	11-9141.00	25101904	golf carts	15
478	96700	96700	11-9141.00	46171619	lenel onguard	10
479	96706	96706	11-9141.00	30191501	step ladders	135
480	96708	96708	11-9141.00	45121516	video surveillance cameras	1
481	96739	96739	11-9141.00	43232306	propertyware	16
482	96743	96743	11-9141.00	43232306	realpage onesite	20
483	96761	96761	11-9151.00	43232306	client information databases	2
484	96765	96765	11-9151.00	43231601	financial accounting software	74
485	96774	96774	11-9151.00	43232305	oracle reports	244
486	96782	96782	11-9161.00	46181701	hard hats	173
487	96786	96786	11-9161.00	41111929	radiation detectors	3
488	96791	96791	11-9161.00	43232112	desktop publishing software	111
489	96800	96800	11-9161.00	43233506	mapinfo professional	6
490	96806	96806	11-9161.00	43232306	relational database software	14
