onet_soc_code	occupation_title	description	alternate_title
11-1011.00	n/a	n/a	Executive Director
11-1011.00	n/a	n/a	Executive Vice President (EVP)
11-1011.00	n/a	n/a	Operations Vice President
11-1011.00	n/a	n/a	President
11-1011.00	n/a	n/a	Vice President
11-1011.03	Chief Sustainability Officers	Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.	n/a
11-1011.03	n/a	n/a	Chief Environmental Commitment Officer (CECO)
11-1011.03	n/a	n/a	Chief Green Officer (CGO)
11-1011.03	n/a	n/a	Corporate Sustainability Process Manager
11-1011.03	n/a	n/a	Director of Sustainability
11-1011.03	n/a	n/a	Director of Sustainability Programs
11-1011.03	n/a	n/a	Director of Sustainable Design
11-1011.03	n/a	n/a	Energy and Sustainability Manager
11-1011.03	n/a	n/a	Environment Coordinator
11-1011.03	n/a	n/a	Environmental and Sustainability Manager
11-1011.03	n/a	n/a	Safety Manager
11-1011.03	n/a	n/a	Stakeholder Manager
11-1011.03	n/a	n/a	Supply Chain Manager, Sustainability and Energy
11-1011.03	n/a	n/a	Sustainability Coordinator
11-1011.03	n/a	n/a	Sustainability Director
11-1011.03	n/a	n/a	Sustainability Executive Director
11-1011.03	n/a	n/a	Sustainability Manager
11-1011.03	n/a	n/a	Sustainability Research and Advocacy Director
11-1011.03	n/a	n/a	Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)
11-1011.03	n/a	n/a	Corporate Sustainability Process Manager
11-1011.03	n/a	n/a	Director of Sustainability
11-1011.03	n/a	n/a	Director of Sustainability Programs
11-1011.03	n/a	n/a	Director of Sustainable Design
11-1011.03	n/a	n/a	Supply Chain Manager, Sustainability and Energy
11-1011.03	n/a	n/a	Sustainability Coordinator
11-1011.03	n/a	n/a	Sustainability Director
11-1011.03	n/a	n/a	Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)
11-1021.00	General and Operations Managers	Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.	n/a
11-1021.00	n/a	n/a	Adjutant General
11-1021.00	n/a	n/a	Adult Daycare Coordinator
11-1021.00	n/a	n/a	Assistant Manager
11-1021.00	n/a	n/a	Building Manager
11-1021.00	n/a	n/a	Business Administrator
11-1021.00	n/a	n/a	Business Coordinator
11-1021.00	n/a	n/a	Business Development Director
11-1021.00	n/a	n/a	Business Manager
11-1021.00	n/a	n/a	Chief Administrative Officer
11-1021.00	n/a	n/a	Chief Deputy
11-1021.00	n/a	n/a	Corporate Administrator
11-1021.00	n/a	n/a	Corporate Manager
11-1021.00	n/a	n/a	Department Store General Manager
11-1021.00	n/a	n/a	Department Store Manager
11-1021.00	n/a	n/a	District Commercial Superintendent
11-1021.00	n/a	n/a	District Plant Superintendent
11-1021.00	n/a	n/a	District Traffic Chief
11-1021.00	n/a	n/a	District Wire Chief
11-1021.00	n/a	n/a	Division Toll Wire Chief
11-1021.00	n/a	n/a	Division Traffic Superintendent
11-1021.00	n/a	n/a	Drilling and Production Superintendent
11-1021.00	n/a	n/a	Electrical Superintendent
11-1021.00	n/a	n/a	Equipment Maintenance Superintendent
11-1021.00	n/a	n/a	Executive Administrator
11-1021.00	n/a	n/a	Executive Director
11-1021.00	n/a	n/a	Facilities Manager
11-1021.00	n/a	n/a	Facility Manager
11-1021.00	n/a	n/a	Field Party Manager
11-1021.00	n/a	n/a	Fish and Game Club Manager
11-1021.00	n/a	n/a	Fitness Manager
11-1021.00	n/a	n/a	General Manager (GM)
11-1021.00	n/a	n/a	General Superintendent
11-1021.00	n/a	n/a	Golf Course Manager
11-1021.00	n/a	n/a	Gym Manager
11-1021.00	n/a	n/a	Head of Store Operations
11-1021.00	n/a	n/a	Head of Visual Merchandising
11-1021.00	n/a	n/a	Industrial Organization Manager
11-1021.00	n/a	n/a	Installation Superintendent
11-1021.00	n/a	n/a	Laundry Superintendent
11-1021.00	n/a	n/a	Lease Operator
11-1021.00	n/a	n/a	Line Construction Superintendent
11-1021.00	n/a	n/a	Mine Administrator Supervisor
11-1021.00	n/a	n/a	Mine Superintendent
11-1021.00	n/a	n/a	Movie Theater Manager
11-1021.00	n/a	n/a	Newspaper Manager
11-1021.00	n/a	n/a	Nonprofit Director
11-1021.00	n/a	n/a	Nonprofit Manager
11-1021.00	n/a	n/a	Office Manager
11-1021.00	n/a	n/a	Offshoring Manager
11-1021.00	n/a	n/a	Oil Lease Operator
11-1021.00	n/a	n/a	Oil Operator
11-1021.00	n/a	n/a	Oil Producer
11-1021.00	n/a	n/a	Operations Administrator
11-1021.00	n/a	n/a	Operations Director
11-1021.00	n/a	n/a	Operations Manager
11-1021.00	n/a	n/a	Operations Supervisor
11-1021.00	n/a	n/a	Operations Vice President
11-1021.00	n/a	n/a	Park Superintendent
11-1021.00	n/a	n/a	Parks and Recreation Manager
11-1021.00	n/a	n/a	Plant Manager
11-1021.00	n/a	n/a	Plant Superintendent
11-1021.00	n/a	n/a	Plant Supervisor
11-1021.00	n/a	n/a	Print Production Coordinator
11-1021.00	n/a	n/a	Print Production Manager
11-1021.00	n/a	n/a	Printing Manager
11-1021.00	n/a	n/a	Prison Warden
11-1021.00	n/a	n/a	Production Manager
11-1021.00	n/a	n/a	Program Manager
11-1021.00	n/a	n/a	Public Works Director
11-1021.00	n/a	n/a	Publication Director
11-1021.00	n/a	n/a	Radio Station Manager
11-1021.00	n/a	n/a	Refinery Superintendent
11-1021.00	n/a	n/a	Relocation Commissioner
11-1021.00	n/a	n/a	Revenue Director
11-1021.00	n/a	n/a	Revenue Manager
11-1021.00	n/a	n/a	Roads Superintendent
11-1021.00	n/a	n/a	Salon Manager
11-1021.00	n/a	n/a	Shelter Director
11-1021.00	n/a	n/a	Shift Superintendent
11-1021.00	n/a	n/a	Shop Superintendent
11-1021.00	n/a	n/a	Social Insurance Administrator
11-1021.00	n/a	n/a	Solid Waste Manager
11-1021.00	n/a	n/a	Sports Team Manager
11-1021.00	n/a	n/a	Store Manager
11-1021.00	n/a	n/a	Street Commissioner
11-1021.00	n/a	n/a	Street Superintendent
11-1021.00	n/a	n/a	Substation Superintendent
11-1021.00	n/a	n/a	Television Station Manager
11-1021.00	n/a	n/a	Theatre Manager
11-1021.00	n/a	n/a	Venue Manager
11-1021.00	n/a	n/a	Water and Sewer Systems Supervisor
11-1021.00	n/a	n/a	Water Control Supervisor
11-1021.00	n/a	n/a	Water Superintendent
11-1021.00	n/a	n/a	Waterworks Supervisor
11-1021.00	n/a	n/a	Zoo Director
11-1021.00	n/a	n/a	Business Manager
11-1021.00	n/a	n/a	Facilities Manager
11-1021.00	n/a	n/a	Facility Manager
11-1021.00	n/a	n/a	General Manager (GM)
11-1021.00	n/a	n/a	Operations Director
11-1021.00	n/a	n/a	Operations Manager
11-1021.00	n/a	n/a	Plant Manager
11-1021.00	n/a	n/a	Plant Superintendent
11-1021.00	n/a	n/a	Production Manager
11-1021.00	n/a	n/a	Store Manager
11-1031.00	Legislators	Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions.	n/a
11-1031.00	n/a	n/a	Alderman
11-1031.00	n/a	n/a	Assembly Member
11-1031.00	n/a	n/a	Assembly Person
11-1031.00	n/a	n/a	Assemblyman or Woman
11-1031.00	n/a	n/a	City Alderman
11-1031.00	n/a	n/a	City Council Member
11-1031.00	n/a	n/a	City Councilman
11-1031.00	n/a	n/a	Congressional Representative
11-1031.00	n/a	n/a	Congressman
11-1031.00	n/a	n/a	Council Member
11-1031.00	n/a	n/a	Councilman
11-1031.00	n/a	n/a	Councilor
11-1031.00	n/a	n/a	Councilperson
11-1031.00	n/a	n/a	Delegate
11-1031.00	n/a	n/a	Legislator
11-1031.00	n/a	n/a	Member of Congress
11-1031.00	n/a	n/a	Representative
11-1031.00	n/a	n/a	Selectman
11-1031.00	n/a	n/a	Senator
11-1031.00	n/a	n/a	Tribal Council Member
11-1031.00	n/a	n/a	Tribal Delegate
11-1031.00	n/a	n/a	U.S. Representative
11-1031.00	n/a	n/a	U.S. Senator
11-2011.00	Advertising and Promotions Managers	Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.	n/a
11-2011.00	n/a	n/a	Account Director
11-2011.00	n/a	n/a	Account Executive
11-2011.00	n/a	n/a	Account Manager
11-2011.00	n/a	n/a	Account Specialist
11-2011.00	n/a	n/a	Advertising Account Executive
11-2011.00	n/a	n/a	Advertising Account Manager
11-2011.00	n/a	n/a	Advertising Agency Manager
11-2011.00	n/a	n/a	Advertising Campaign Manager
11-2011.00	n/a	n/a	Advertising Coordinator
11-2011.00	n/a	n/a	Advertising Director
11-2011.00	n/a	n/a	Advertising Executive
11-2011.00	n/a	n/a	Advertising Manager
11-2011.00	n/a	n/a	Advertising Operations Manager
11-2011.00	n/a	n/a	Advertising Sales Manager
11-2011.00	n/a	n/a	Advertising Sales Representative
11-2011.00	n/a	n/a	Advertising Vice President
11-2011.00	n/a	n/a	Art Director
11-2011.00	n/a	n/a	Brand Manager
11-2011.00	n/a	n/a	Campaign Director
11-2011.00	n/a	n/a	Campaign Manager
11-2011.00	n/a	n/a	Circulation Director
11-2011.00	n/a	n/a	Circulation Manager
11-2011.00	n/a	n/a	Classified Advertising Manager
11-2011.00	n/a	n/a	Client Services Director
11-2011.00	n/a	n/a	Creative Director
11-2011.00	n/a	n/a	Director of Marketing
11-2011.00	n/a	n/a	Director of Sales and Marketing
11-2011.00	n/a	n/a	Director of Sales Marketing
11-2011.00	n/a	n/a	Head of Advertising
11-2011.00	n/a	n/a	Head of Sales Promotion
11-2011.00	n/a	n/a	Market Development Director
11-2011.00	n/a	n/a	Marketing and Promotions Manager
11-2011.00	n/a	n/a	Marketing Director
11-2011.00	n/a	n/a	Marketing Manager
11-2011.00	n/a	n/a	Marketing Strategist
11-2011.00	n/a	n/a	Media Director
11-2011.00	n/a	n/a	Media Promoter
11-2011.00	n/a	n/a	Online Advertising Director
11-2011.00	n/a	n/a	Print Traffic Manager
11-2011.00	n/a	n/a	Promotion Manager
11-2011.00	n/a	n/a	Promotions Coordinator
11-2011.00	n/a	n/a	Promotions Director
11-2011.00	n/a	n/a	Promotions Executive Producer (Promos Executive Producer)
11-2011.00	n/a	n/a	Promotions Manager
11-2011.00	n/a	n/a	Promotions Producer
11-2011.00	n/a	n/a	Recruitment Advertising Manager
11-2011.00	n/a	n/a	Retail Advertising Sales Manager
11-2011.00	n/a	n/a	Sales Manager
11-2011.00	n/a	n/a	Sales Promotion Manager
11-2011.00	n/a	n/a	Account Executive
11-2011.00	n/a	n/a	Advertising Director
11-2011.00	n/a	n/a	Advertising Manager
11-2011.00	n/a	n/a	Advertising Sales Manager
11-2011.00	n/a	n/a	Classified Advertising Manager
11-2011.00	n/a	n/a	Marketing and Promotions Manager
11-2011.00	n/a	n/a	Marketing Director
11-2011.00	n/a	n/a	Marketing Manager
11-2011.00	n/a	n/a	Promotions Director
11-2011.00	n/a	n/a	Retail Advertising Sales Manager
11-2011.01	Green Marketers	Create and implement methods to market green products and services.	n/a
11-2011.01	n/a	n/a	Environmental Marketer
11-2011.01	n/a	n/a	Environmental Marketing Representative
11-2011.01	n/a	n/a	Green Energy Marketing Analyst
11-2011.01	n/a	n/a	Green Marketer
11-2011.01	n/a	n/a	Green Marketing Analyst
11-2011.01	n/a	n/a	Marketing Communications Specialist
11-2021.00	Marketing Managers	Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.	n/a
11-2021.00	n/a	n/a	Account Supervisor
11-2021.00	n/a	n/a	Brand Manager
11-2021.00	n/a	n/a	Bridal Consultant
11-2021.00	n/a	n/a	Business Developer
11-2021.00	n/a	n/a	Business Development Director
11-2021.00	n/a	n/a	Business Development Manager
11-2021.00	n/a	n/a	Business Development Specialist
11-2021.00	n/a	n/a	Channel Manager
11-2021.00	n/a	n/a	Commercial Director
11-2021.00	n/a	n/a	Commercial Lines Manager
11-2021.00	n/a	n/a	Community Relations Director
11-2021.00	n/a	n/a	Fashion Coordinator
11-2021.00	n/a	n/a	Fashion Marketer
11-2021.00	n/a	n/a	Head of Marketing
11-2021.00	n/a	n/a	International Trade Specialist
11-2021.00	n/a	n/a	Internet Marketing Manager
11-2021.00	n/a	n/a	Market Analysis Director
11-2021.00	n/a	n/a	Market Development Executive
11-2021.00	n/a	n/a	Market Research Manager
11-2021.00	n/a	n/a	Marketing Administrator
11-2021.00	n/a	n/a	Marketing Agent
11-2021.00	n/a	n/a	Marketing Assistant
11-2021.00	n/a	n/a	Marketing Communications Specialist
11-2021.00	n/a	n/a	Marketing Coordinator
11-2021.00	n/a	n/a	Marketing Director
11-2021.00	n/a	n/a	Marketing Executive
11-2021.00	n/a	n/a	Marketing Manager
11-2021.00	n/a	n/a	Marketing Officer
11-2021.00	n/a	n/a	Marketing Planner
11-2021.00	n/a	n/a	Marketing Sales Supervisor
11-2021.00	n/a	n/a	Media Marketing Director
11-2021.00	n/a	n/a	Media Planner
11-2021.00	n/a	n/a	Membership Administrator
11-2021.00	n/a	n/a	Membership Director
11-2021.00	n/a	n/a	Pricing Analyst
11-2021.00	n/a	n/a	Pricing Manager
11-2021.00	n/a	n/a	Pricing Specialist
11-2021.00	n/a	n/a	Product Line Manager (PLM)
11-2021.00	n/a	n/a	Product Manager
11-2021.00	n/a	n/a	Sales and Marketing Manager
11-2021.00	n/a	n/a	Sales and Marketing Vice President
11-2021.00	n/a	n/a	Sales Marketing Director
11-2021.00	n/a	n/a	Sales Officer
11-2021.00	n/a	n/a	Sports Marketer
11-2021.00	n/a	n/a	Strategic Planner
11-2021.00	n/a	n/a	Strategist
11-2021.00	n/a	n/a	Sustainable Products Marketing Manager
11-2021.00	n/a	n/a	Trade Specialist
11-2021.00	n/a	n/a	VP Marketing
11-2021.00	n/a	n/a	World Trade and Maritime Division Manager
11-2021.00	n/a	n/a	Account Supervisor
11-2021.00	n/a	n/a	Brand Manager
11-2021.00	n/a	n/a	Business Development Director
11-2021.00	n/a	n/a	Business Development Manager
11-2021.00	n/a	n/a	Commercial Lines Manager
11-2021.00	n/a	n/a	Market Development Executive
11-2021.00	n/a	n/a	Marketing Coordinator
11-2021.00	n/a	n/a	Marketing Director
11-2021.00	n/a	n/a	Marketing Manager
11-2021.00	n/a	n/a	Product Manager
11-2022.00	Sales Managers	Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.	n/a
11-2022.00	n/a	n/a	Area Sales Manager
11-2022.00	n/a	n/a	Artist Relationship Manager
11-2022.00	n/a	n/a	Auto Dealer (Automobile Dealer)
11-2022.00	n/a	n/a	Business Developer
11-2022.00	n/a	n/a	Business Development Director
11-2022.00	n/a	n/a	Business Development Executive
11-2022.00	n/a	n/a	Business Development Manager
11-2022.00	n/a	n/a	Business Development Officer
11-2022.00	n/a	n/a	Business Development Specialist
11-2022.00	n/a	n/a	Car Dealer
11-2022.00	n/a	n/a	Channel Manager
11-2022.00	n/a	n/a	Clothier
11-2022.00	n/a	n/a	Commercial Director
11-2022.00	n/a	n/a	Contracts Specialist
11-2022.00	n/a	n/a	Dealership Manager
11-2022.00	n/a	n/a	Department Store Manager
11-2022.00	n/a	n/a	Director of Business Development
11-2022.00	n/a	n/a	Director of Sales
11-2022.00	n/a	n/a	Director of Sales and Marketing
11-2022.00	n/a	n/a	Director of Sales Marketing
11-2022.00	n/a	n/a	District Manager
11-2022.00	n/a	n/a	District Sales Manager
11-2022.00	n/a	n/a	Division Head
11-2022.00	n/a	n/a	Division Manager
11-2022.00	n/a	n/a	E-Commerce Director
11-2022.00	n/a	n/a	Export Manager
11-2022.00	n/a	n/a	Field Representative
11-2022.00	n/a	n/a	General Manager
11-2022.00	n/a	n/a	Global Account Manager (GAM)
11-2022.00	n/a	n/a	Hotel Sales Manager
11-2022.00	n/a	n/a	Import Export Manager
11-2022.00	n/a	n/a	Importer Exporter
11-2022.00	n/a	n/a	Inside Sales Manager
11-2022.00	n/a	n/a	International Trade Specialist
11-2022.00	n/a	n/a	Liquidator
11-2022.00	n/a	n/a	Marketing Sales Supervisor
11-2022.00	n/a	n/a	National Account Manager
11-2022.00	n/a	n/a	Product Distribution Specialist
11-2022.00	n/a	n/a	Professional Equipment Sales and Service Manager
11-2022.00	n/a	n/a	Regional Director
11-2022.00	n/a	n/a	Regional Manager
11-2022.00	n/a	n/a	Regional Sales Manager
11-2022.00	n/a	n/a	Retail Chain Store Area Supervisor
11-2022.00	n/a	n/a	Retail District Manager
11-2022.00	n/a	n/a	Sales Account Manager
11-2022.00	n/a	n/a	Sales Administrator
11-2022.00	n/a	n/a	Sales and Marketing Manager
11-2022.00	n/a	n/a	Sales and Marketing Vice President
11-2022.00	n/a	n/a	Sales Coordinator
11-2022.00	n/a	n/a	Sales Director
11-2022.00	n/a	n/a	Sales Manager
11-2022.00	n/a	n/a	Sales Officer
11-2022.00	n/a	n/a	Sales Promotion Manager
11-2022.00	n/a	n/a	Sales Representative
11-2022.00	n/a	n/a	Sales Supervisor
11-2022.00	n/a	n/a	Sales Vice President
11-2022.00	n/a	n/a	Store Manager
11-2022.00	n/a	n/a	Territory Sales Manager
11-2022.00	n/a	n/a	Utility Sales and Service Manager
11-2022.00	n/a	n/a	Vehicle Leasing and Rental Manager
11-2022.00	n/a	n/a	Vice President of Sales
11-2022.00	n/a	n/a	Vice President Worldwide Sales
11-2022.00	n/a	n/a	Zone Manager
11-2022.00	n/a	n/a	Director of Sales
11-2022.00	n/a	n/a	District Sales Manager
11-2022.00	n/a	n/a	General Manager
11-2022.00	n/a	n/a	Regional Sales Manager
11-2022.00	n/a	n/a	Sales and Marketing Vice President
11-2022.00	n/a	n/a	Sales Manager
11-2022.00	n/a	n/a	Sales Representative
11-2022.00	n/a	n/a	Sales Supervisor
11-2022.00	n/a	n/a	Store Manager
11-2022.00	n/a	n/a	Vice President of Sales
11-2031.00	Public Relations and Fundraising Managers	Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.	n/a
11-2031.00	n/a	n/a	Account Executive
11-2031.00	n/a	n/a	Account Manager
11-2031.00	n/a	n/a	Account Supervisor
11-2031.00	n/a	n/a	Alumni Relations Coordinator
11-2031.00	n/a	n/a	Business Development Director
11-2031.00	n/a	n/a	Campaign Manager
11-2031.00	n/a	n/a	Communication Manager
11-2031.00	n/a	n/a	Communications Coordinator
11-2031.00	n/a	n/a	Communications Director
11-2031.00	n/a	n/a	Communications Manager
11-2031.00	n/a	n/a	Community Relations Director
11-2031.00	n/a	n/a	Customer Service Manager
11-2031.00	n/a	n/a	Development Director
11-2031.00	n/a	n/a	Development Officer
11-2031.00	n/a	n/a	Director of Communications
11-2031.00	n/a	n/a	Director of Development and Public Relations
11-2031.00	n/a	n/a	Director of Information
11-2031.00	n/a	n/a	Director of Marketing and Public Relations
11-2031.00	n/a	n/a	Director of Public Affairs
11-2031.00	n/a	n/a	Director of Public Information
11-2031.00	n/a	n/a	Director of Public Relations
11-2031.00	n/a	n/a	Executive Counselor
11-2031.00	n/a	n/a	Fund Raiser
11-2031.00	n/a	n/a	Fundraising Director
11-2031.00	n/a	n/a	Fundraising Manager
11-2031.00	n/a	n/a	Funds Development Director
11-2031.00	n/a	n/a	Image Consultant
11-2031.00	n/a	n/a	Information Director
11-2031.00	n/a	n/a	Information Officer
11-2031.00	n/a	n/a	Major Gifts Director
11-2031.00	n/a	n/a	Major Gifts Officer
11-2031.00	n/a	n/a	Marketing Communications Manager
11-2031.00	n/a	n/a	Marketing Director
11-2031.00	n/a	n/a	Media Relations Director
11-2031.00	n/a	n/a	Public Affairs Director
